mean	sd	2.5%	97.5%	Rhat	n.eff
theta[12,2]	0.4754	0.7946	-1.099	2.0855	1.001	26000
theta[13,2]	-0.2603	0.461	-1.1606	0.6584	1.0011	9900
theta[14,2]	1.6522	0.2857	1.1147	2.2554	1.0012	6900
theta[15,2]	0.5774	0.5204	-0.4287	1.6109	1.0013	6300
theta[16,2]	0.5112	0.6147	-0.6673	1.7504	1.0028	1100
theta[17,2]	0.9184	0.257	0.3987	1.4272	1.0013	6500
theta[18,2]	0.9198	0.2334	0.455	1.3784	1.0012	9500
theta[19,2]	1.1469	0.3498	0.4779	1.86	1.0012	7900
theta[20,2]	-0.0679	0.4142	-0.8699	0.7456	1.0011	12000
theta[21,2]	1.4881	0.5862	0.3154	2.6221	1.001	20000
theta[22,2]	0.2464	0.3358	-0.4137	0.9135	1.0011	14000
theta[23,2]	0.1831	0.6243	-1.031	1.4051	1.0013	5200
theta[24,2]	0.5907	0.2418	0.0898	1.038	1.0016	2900
